Fold 5 Ep  22/60 | loss=0.091 | bal_acc=0.8577 f1=0.8655 auc=0.8952
Fold 5 Ep  23/60 | loss=0.086 | bal_acc=0.8678 f1=0.8663 auc=0.8950
Fold 5 Ep  24/60 | loss=0.086 | bal_acc=0.8577 f1=0.8655 auc=0.8950
Fold 5 Ep  25/60 | loss=0.087 | bal_acc=0.8577 f1=0.8655 auc=0.8951
Fold 5 Ep  26/60 | loss=0.083 | bal_acc=0.8577 f1=0.8655 auc=0.8969
Fold 5 Ep  27/60 | loss=0.087 | bal_acc=0.8577 f1=0.8655 auc=0.8967
Fold 5 Ep  28/60 | loss=0.089 | bal_acc=0.8678 f1=0.8663 auc=0.8950
Fold 5 Ep  29/60 | loss=0.093 | bal_acc=0.8678 f1=0.8663 auc=0.8949
Fold 5 Ep  30/60 | loss=0.094 | bal_acc=0.8678 f1=0.8663 auc=0.8931
Fold 5 Ep  31/60 | loss=0.089 | bal_acc=0.8678 f1=0.8663 auc=0.8948
Fold 5 Ep  32/60 | loss=0.084 | bal_acc=0.8715 f1=0.8693 auc=0.8947
Fold 5 Ep  33/60 | loss=0.091 | bal_acc=0.8678 f1=0.8663 auc=0.8966
Fold 5 Ep  34/60 | loss=0.091 | bal_acc=0.8678 f1=0.8663 auc=0.8947
Fold 5 Ep  35/60 | loss=0.087 | bal_acc=0.8715 f1=0.8693 auc=0.8945
Fold 5 Ep  36/60 | loss=0.087 | bal_acc=0.8715 f1=0.8693 auc=0.8927
Fold 5 Ep  37/60 | loss=0.082 | bal_acc=0.8678 f1=0.8663 auc=0.8946
Fold 5 Ep  38/60 | loss=0.085 | bal_acc=0.8678 f1=0.8663 auc=0.8946
Fold 5 Ep  39/60 | loss=0.087 | bal_acc=0.8577 f1=0.8655 auc=0.8948
